mod_value,effect,se,t,p,significant
-2.543882589260215,0.7464178701482246,0.2237175582211944,3.336429541262135,0.0008681588786134675,True
-2.5028216820552793,0.7299759442035972,0.22064415422381628,3.3083856074570037,0.0009592900134807181,True
-2.461760774850344,0.7135340182589698,0.2175790356536449,3.2794244910378922,0.0010626483888185323,True
-2.4206998676454083,0.6970920923143423,0.2145225576598741,3.2495048535622213,0.0011801829067179526,True
-2.379638960440473,0.6806501663697149,0.21147509489307495,3.218583099413489,0.001314197485203561,True
-2.3385780532355374,0.6642082404250875,0.20843704277616587,3.186613240998436,0.0014674230485007822,True
-2.297517146030602,0.6477663144804601,0.20540881886776052,3.153546756419857,0.0016431054352050722,True
-2.256456238825667,0.6313243885358328,0.20239086432485245,3.1193324394450435,0.0018451129918632958,True
-2.2153953316207313,0.6148824625912054,0.1993836454722661,3.0839162416494905,0.0020780685560395362,True
-2.174334424415796,0.598440536646578,0.1963876554867868,3.0472411066939076,0.0023475117084323927,True
-2.1332735172108603,0.5819986107019506,0.1934034162043694,3.009246796793665,0.0026600986485632028,True
-2.092212610005925,0.5655566847573231,0.19043148005931507,2.969869711568513,0.0030238488975826705,True
-2.0511517028009894,0.5491147588126958,0.18747243216478307,2.929042699622306,0.00344845034630481,True
-2.010090795596054,0.5326728328680683,0.18452689254445861,2.8866948634044216,0.003945637057207518,True
-1.9690298883911184,0.5162309069234409,0.18159551852561304,2.8427513581544104,0.004529657827496036,True
-1.9279689811861829,0.4997889809788135,0.17867900730414715,2.797133186038321,0.005217857979708196,True
-1.8869080739812474,0.48334705503418607,0.17577809869247582,2.7497569869600356,0.006031402339562897,True
-1.8458471667763119,0.4669051290895586,0.17289357806126046,2.7005348279860493,0.0069961740735076106,True
-1.8047862595713766,0.45046320314493127,0.17002627948598323,2.6493739938717353,0.008143892174117928,True
-1.7637253523664411,0.4340212772003039,0.1671770891091339,2.5961767818374506,0.0095135000535993,True
-1.7226644451615056,0.41757935125567647,0.16434694872828645,2.5408403045319523,0.011152889008750222,True
-1.6816035379565704,0.4011374253110491,0.16153685961949935,2.483256306058752,0.013121033170938157,True
-1.6405426307516349,0.38469549936642167,0.1587478866041963,2.4233109970501663,0.015490626582826073,True
-1.5994817235466994,0.3682535734217943,0.15598116236586004,2.3608849160774996,0.0183513274027991,True
-1.5584208163417639,0.35181164747716687,0.15323789202037444,2.295852826208221,0.021813727318399367,True
-1.5173599091368284,0.3353697215325394,0.15051935794052596,2.228083657286477,0.02601417327323685,True
-1.476299001931893,0.31892779558791207,0.14782692483084914,2.1574405065440208,0.03112056907588534,True
-1.4352380947269574,0.3024858696432846,0.14516204504346158,2.083780712463235,0.03733926941888588,True
-1.394177187522022,0.28604394369865715,0.14252626411855296,2.0069560194233858,0.04492313803495529,True
