agency,locus,frame,stringency,demkt_intensity,demkt_sacrifice,precarity,collectivism,growth_endorse,community,symbolic,PA,CE,RIA,RSV,AD,PR,CS,SCB,BSE,SPS,CDC,VS,FRUG,MAT,CR,PA1,PA2,PA3,PA4,CE1,CE2,CE3,RIA1,RIA2,RIA3,RIA4,RSV1,RSV2,RSV3,AD1,AD2,AD3,AD4,PR1,PR2,PR3,PR4,CS1,CS2,CS3,CS4,SCB1,SCB2,SCB3,BSE1,BSE2,BSE3,BSE4,SPS1,SPS2,SPS3,CDC1,CDC2,CDC3,VS1,VS2,VS3,FRUG1,FRUG2,FRUG3,MAT1,MAT2,MAT3,CR1,CR2,CR3,PA_c,CE_c,RIA_c,RSV_c,AD_c,PR_c,CS_c,SCB_c,BSE_c,SPS_c,CDC_c,VS_c,FRUG_c,MAT_c,CR_c
0.0,0.0,0.0,0.35,0.15,0.15,2.167937747012535,1.3114738602824823,-0.7969202130734699,-0.5709620436223662,-1.0,0.7334018165871306,-0.39141673825737194,0.7512353627231914,-0.25835384789958904,0.6750067863027587,-0.3337037078886879,-1.2121956614059515,-0.863032059166359,-0.7500914915486652,0.1355621678580835,-0.23991435520966348,-1.7815887751563568,-0.9618276910363279,1.3095569893448995,-0.07316209945535315,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,5.0,5.0,3.0,5.0,5.0,3.0,3.0,4.0,3.0,5.0,3.0,4.0,5.0,5.0,4.0,2.0,2.0,0.7644903375479245,-0.33438432248419997,-1.0121030638779782,-1.375243755060653,0.2625350586912685,0.004485231725039282,-2.813230778893133,-0.9847673258613316,-1.2645609455198998,0.6633682635975156,0.34793141950058587,-0.6704899507726048,-0.34059113608757385,0.6535139500157715,-1.3682096644306982
0.0,0.0,0.0,0.35,0.15,0.85,-0.7066019314051956,-1.1050373481571922,1.2123014860561816,1.0545728131480372,1.0,0.6712968148010479,-0.09563328489467349,0.8719579042530928,0.45451526102162104,-0.16140056327741809,0.22639605480953784,0.2578973658964885,1.3214461402970519,-0.4174843240483157,-0.7428546263945083,-0.4740470606751196,1.1456203709178174,0.19961910685333326,-0.6599735452995125,-0.23327903500735916,4.0,4.0,5.0,3.0,5.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,6.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,5.0,6.0,5.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,5.0,0.0010603194695532332,0.0033776194190324,-0.5041466955577882,-0.3425200341139802,-0.24931233437050615,0.7733820988746274,-0.2551668744665516,0.9755104585460748,-0.25308076913337757,-0.3396244911068351,-0.34161061749479615,1.359588958210893,0.0,-0.34294950617091935,0.338142026815235
0.0,0.0,0.0,0.35,0.5,0.85,-0.005782764403553552,0.5613109347320249,1.298774677403213,0.790333752369009,1.0,0.31788088531697073,0.25401336015498815,1.1631497739801242,1.024222624678784,0.987273396512431,-0.3794967653795267,0.4478490739413144,1.1069404543673211,-0.6645420162694028,-0.37939647076825417,-1.2951773481621653,-1.3511448293750805,0.9684035886558708,0.6055013786603921,0.13021929906328894,4.0,4.0,4.0,4.0,5.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,5.0,6.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,6.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,6.0,4.0,5.0,6.0,5.0,4.0,4.0,5.0,4.0,0.0010603194695532332,0.0033776194190324,-1.266081248038073,0.0017212062015775984,1.0303061482839304,0.2607841874415686,0.2564459064187647,0.9755104585460748,-0.7588208573266386,-1.0082863275764018,-1.3759236729878694,-0.6704899507726048,1.0217734082627212,0.9856684354113346,0.338142026815235
0.0,0.0,0.0,0.35,0.5,0.85,-0.5401939935240474,-0.17737542984583343,0.8936400647213176,-1.0155471797766096,1.0,-0.7528092386727478,0.21653752040441937,1.983281753963548,1.8025782244590176,0.1961269164477153,0.15310560774525805,1.7158305388537336,-0.830391565675707,1.3455929546694654,-0.28175205556021654,0.09662039947750098,0.03022806055299465,0.47666810727369996,-1.6688516961338344,0.9972775122209494,3.0,3.0,4.0,2.0,4.0,3.0,4.0,5.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0,2.0,4.0,3.0,6.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,-1.0168463713016085,-0.33438432248419997,0.2577878569224965,0.6902036868326932,0.5184587552221558,0.2607841874415686,0.5122522968614228,-0.9847673258613316,1.2641394954464058,-0.0052935728720515645,-0.34161061749479615,-0.332143465942022,-0.34059113608757385,-1.007258476962046,0.338142026815235
0.0,0.0,0.0,0.35,0.15,0.85,-0.7828954936775884,-1.7600001681778388,0.31553498760209564,-0.06833289603594078,-1.0,1.000394450120289,-0.11470491961761786,2.0494333476313256,0.14895914488063408,0.46943196047039126,0.1376050157202299,0.5774044558102619,1.2627394391268525,-1.0082177207437195,0.5747620948642704,-1.1403720660493442,0.09086500560062331,-0.6798407376502956,1.841224150064036,-1.1308546819241112,5.0,5.0,5.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,4.0,5.0,5.0,2.0,3.0,4.0,5.0,5.0,5.0,3.0,3.0,3.0,1.018967010240715,-1.0099082062906641,-0.25016851139769336,-1.0310025147450952,-0.24931233437050615,-0.2518137239914901,-0.2551668744665516,-0.004628433657628452,-1.0116909014232691,-0.3396244911068351,-1.7206946914855603,0.6828959885497277,-1.0217734082627212,0.9856684354113346,-1.0269393261815114
0.0,0.0,0.0,0.35,0.15,0.5,-1.620460655375694,-1.1467905659580109,-0.5165937469568213,0.11781948864395846,1.0,-0.006398294836576918,-1.2441617711816484,-0.4416153431110721,0.39291925705983033,0.4752833366018666,1.487689665937714,-0.22457629826957748,-0.3358495756188816,-0.536866603362937,-1.1413870981764902,2.8052302640526046,-0.16206446498648747,0.4169076201947959,-1.1189939082136253,0.8073847071025261,4.0,4.0,5.0,4.0,4.0,3.0,3.0,1.0,2.0,1.0,2.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,7.0,7.0,7.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,2.0,2.0,5.0,6.0,3.0,0.25553699216234366,-0.6721462643874319,-2.5359721688385477,-0.6867612744295375,0.5184587552221558,2.054876877457274,-0.766779655351868,-0.6580543617934305,-1.0116909014232691,-2.011279082280752,3.106099567482115,0.344549503719144,0.3405911360875734,-1.671567447753173,0.6794123650644223
0.0,0.0,0.0,0.35,0.5,0.5,0.7051083676803707,0.31159900866557005,-0.30868918776291965,-0.6652484406238286,-1.0,-1.137254355028962,-0.884669920916926,0.9215173968107135,-1.0866299468728542,1.2364867854367803,-0.08718093580586994,-1.0317365492363675,0.008589743782385362,0.9558551531368203,0.49988261969690584,0.7520522137949515,-1.6160382393373103,-1.4533354136380507,2.1189683933952734,-1.2504056125642733,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,5.0,5.0,5.0,5.0,4.0,6.0,3.0,4.0,2.0,3.0,4.0,1.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,5.0,2.0,4.0,3.0,2.0,1.0,2.0,7.0,7.0,5.0,3.0,3.0,2.0,-1.2713230439943988,-1.6854320900971285,-1.266081248038073,-1.7194849953762104,1.0303061482839304,0.2607841874415686,-1.5341988266798423,-0.3313413977255297,-0.25308076913337757,-0.6739554093416182,0.34793141950058587,-1.008836435603188,-2.384137952613016,2.3142863769935884,-1.3682096644306982
0.0,0.0,0.0,0.35,0.5,0.15,-1.8166024768888722,-0.5875744576242082,2.072475493827763,1.7788569834665702,-1.0,-0.02777348689277176,-0.577782172148084,0.49338369017157124,-0.305574611806981,-2.2868998080233056,0.5083906097360276,0.029612570800242974,-1.0663447278553142,-0.6565903831275518,1.5028553254839707,0.10849145320848791,-1.958414789914031,-0.3445517319880297,0.7746782463435696,-0.5461203427757005,3.0,4.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,4.0,2.0,2.0,1.0,2.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,5.0,5.0,5.0,4.0,5.0,1.0,3.0,2.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,-0.762369698608818,-1.0099082062906641,-2.281993984678453,-0.6867612744295375,-2.2967019066176046,0.517083143158098,-1.0225860457945262,-1.6381932539971338,-1.0116909014232691,0.9976991818322987,-0.6863816359924869,-1.3471829204337713,-0.34059113608757385,0.6535139500157715,-0.3443986496831382
0.0,0.0,0.0,0.35,0.5,0.15,1.9206898211653278,0.8070641652946245,0.3998404295998916,-0.05166771282493876,-1.0,0.4559186851156023,0.09535343343597737,1.5260032575880127,0.48226817655923965,1.0068983364807158,1.7014337339967645,-0.3144095631693651,-1.4017599670866905,-0.5984063225144107,-0.6090413923898571,0.22579660461073947,-0.24130777766690015,-0.7500795925593537,1.0519045327005252,1.275897721328079,5.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,5.0,5.0,4.0,4.0,2.0,3.0,5.0,2.0,4.0,5.0,5.0,6.0,5.0,5.0,3.0,0.25553699216234366,-0.33438432248419997,-0.25016851139769336,-0.3425200341139802,0.7743824517530431,1.2859800103076862,-1.0225860457945262,-1.3114802899292328,-0.7588208573266386,-0.6739554093416182,0.6927024379982776,-1.008836435603188,-0.34059113608757385,1.317822920806898,0.338142026815235
0.0,0.0,0.0,0.35,0.85,0.5,1.4258204986785172,0.4131063059438628,1.2145439711767891,0.899348200467058,1.0,-0.2532097366733166,1.133583352340273,1.7542257213377566,1.2887756455472619,1.6249763923585194,1.262526159294781,1.7847899459716596,1.0316130553620357,-0.0799251713626703,0.9105615866787532,-2.167145613499165,-0.5624643775313323,1.3631395705082903,0.3740094391416303,-0.4068730570189929,3.0,2.0,3.0,4.0,4.0,6.0,4.0,4.0,3.0,3.0,5.0,4.0,5.0,4.0,6.0,6.0,6.0,6.0,6.0,5.0,7.0,6.0,5.0,6.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,4.0,2.0,4.0,4.0,-1.0168463713016085,0.6789015032254971,-0.25016851139769336,0.3459624465171349,2.0540009344074797,2.054876877457274,1.023865077746739,0.9755104585460748,-0.00021072503674700047,0.32903734536273155,-1.3759236729878694,0.006203018888561208,1.0217734082627212,0.9856684354113346,-0.6856689879323246
